spectra noise
sn1993ac-19931016.49-mmt 1.30711074014e+18
sn1993ac-19931020.52-mmt 2.479868813e+17
sn1993ae-19931213.11-mmt 1.2997277767e+18
sn1994ae-19941129.51-fast 1.02281041291e+17
sn1994ae-19941130.49-fast 9.60977546227e+16
sn1994ae-19941201.50-fast 6.69224789916e+16
sn1994ae-19941202.53-fast 2.15913370984e+17
sn1994ae-19941203.54-fast 1.99441355614e+17
sn1994ae-19941204.53-fast 2.1095726441e+17
sn1994ae-19941207.47-fast 1.77241319526e+17
sn1994ae-19941207.55-mmt 1.38859315631e+17
sn1994ae-19941208.55-fast 1.64836106734e+17
sn1994ae-19941209.50-fast 1.2820568577e+17
sn1994ae-19941228.49-fast 2.14566289839e+17
sn1994ae-19950103.48-fast 9.16901202624e+17
sn1994ae-19950107.37-fast 3.69806773716e+17
sn1994ae-19950131.40-fast 4.40240567959e+17
sn1994ae-19950206.45-fast 6.8174616915e+17
sn1994ae-19950224.33-fast 4.79872167053e+17
sn1994ae-19950501.20-fast 1.59043969706e+18
sn1994ae-19951202.47-mmt 3.82698120101e+17
n1994D-19940310.36-mmt 9.90064318173e+16
n1994D-19940311.41-fast 1.57454742519e+17
n1994D-19940313.31-fast 3.08560864413e+17
n1994D-19940315.36-mmt 5.10616953779e+16
n1994D-19940316.37-fast 7.12952207407e+16
n1994D-19940317.35-fast 1.02066445008e+17
n1994D-19940318.36-fast 6.24891512223e+16
n1994D-19940321.35-fast 6.07450213139e+16
n1994D-19940401.28-fast 7.87628919294e+16
n1994D-19940403.36-fast 9.17694279259e+16
n1994D-19940405.34-fast 9.84798630245e+16
n1994D-19940407.42-fast 8.99679174837e+16
n1994D-19940410.26-fast 9.07363985812e+16
n1994D-19940411.23-fast 1.02930238608e+17
n1994D-19940430.32-fast 1.67787597408e+17
n1994D-19940503.25-fast 2.24186828874e+17
n1994D-19940506.28-fast 2.32034809965e+17
n1994D-19940510.16-fast 2.3614721438e+17
n1994D-19940515.20-fast 1.37379358754e+17
n1994D-19940516.18-fast 1.67781892699e+17
n1994D-19940517.17-fast 1.25648190174e+17
n1994D-19940519.18-fast 1.45662457002e+17
n1994D-19940602.18-fast 1.33471474691e+17
n1994D-19940604.22-fast 1.2422519602e+17
n1994D-19940612.23-mmt 3.49727877948e+17
n1994D-19951124.46-mmt 1.45623448827e+17
n1994M-19940504.15-fast 6.49364485943e+17
n1994M-19940505.17-fast 5.36187117494e+17
n1994M-19940506.26-fast 6.6771286431e+17
n1994M-19940507.29-fast 4.00379120237e+17
n1994M-19940508.26-fast 3.5358448796e+17
n1994M-19940509.23-fast 5.02578745883e+17
n1994M-19940514.29-mmt 8.27760272923e+17
n1994M-19940612.22-mmt 3.38953483832e+17
n1994Q-19940604.39-fast 6.09759413262e+17
n1994Q-19940605.35-fast 4.55810392844e+17
n1994Q-19940606.37-fast 5.0298998114e+17
n1994Q-19940612.32-mmt 1.02509117983e+18
n1994S-19940611.28-fast 5.56553485181e+17
n1994S-19940612.26-mmt 4.99181066901e+17
n1994S-19940616.24-fast 3.17136112541e+17
n1994S-19940712.18-fast 5.25652279625e+17
n1994T-19940611.21-fast 1.16657606985e+17
n1994T-19940612.19-fast 2.34950775753e+17
n1994T-19940612.25-mmt 1.62782676231e+18
n1994T-19940613.19-fast 1.05810680266e+17
n1994T-19940616.23-fast 2.17307582028e+17
sn1995ac-19950927.31-fast 2.03090921313e+18
sn1995ac-19950929.27-fast 4.13764117156e+17
sn1995ac-19951028.23-fast 1.53487020776e+18
sn1995ac-19951123.07-mmt 6.55271816691e+17
sn1995ak-19951114.25-fast 6.73449302358e+17
sn1995ak-19951118.33-fast 4.90763451469e+17
sn1995ak-19951123.38-fast 5.47118473961e+17
sn1995ak-19951127.26-fast 4.61921605996e+17
sn1995ak-19951222.23-fast 5.41739458012e+17
sn1995ak-19960115.17-fast 7.99465645389e+17
sn1995al-19951114.52-fast 2.21805722045e+17
sn1995al-19951116.51-fast 3.29691920354e+17
sn1995al-19951118.53-fast 5.59860005889e+17
sn1995al-19951121.45-fast 2.57547868383e+17
sn1995al-19951123.54-fast 3.5637195599e+17
sn1995al-19951124.51-mmt 2.37984805894e+17
sn1995al-19951124.53-fast 3.88762443067e+17
sn1995al-19951126.46-fast 5.42527041209e+17
sn1995al-19951127.52-fast 4.1644507678e+17
sn1995al-19951203.40-mmt 1.03431134522e+17
sn1995al-19951222.47-fast 5.30453407585e+17
sn1995al-19960115.35-fast 6.28211453539e+17
sn1995al-19960210.31-fast 8.1316890105e+17
sn1995bd-19951223.34-fast 3.73074113994e+17
sn1995bd-19951225.27-fast 1.91410805655e+17
sn1995bd-19951226.26-fast 2.61694996758e+17
sn1995bd-19951228.25-fast 4.55098737914e+17
sn1995bd-19960115.24-fast 3.97548442197e+17
sn1995bd-19960125.23-fast 4.46375764652e+17
sn1995bd-19960210.19-fast 2.6165850767e+17
