#Filename                                 MJD
sn1994T-19940612.19-fast.flm              49515.19
sn1994T-19940612.25-mmt.flm               49515.25
sn1994T-19940613.19-fast.flm              49516.19
sn1994T-19940616.23-fast.flm              49519.23
sn1994ae-19941129.51-fast.flm             49685.51
sn1994ae-19941130.49-fast.flm             49686.49
sn1994ae-19941201.50-fast.flm             49687.50
sn1994ae-19941202.53-fast.flm             49688.53
sn1994ae-19941203.54-fast.flm             49689.54
sn1994ae-19941204.53-fast.flm             49690.53
sn1994ae-19941207.47-fast.flm             49693.47
sn1994ae-19941207.55-mmt.flm              49693.55
sn1994ae-19941208.55-fast.flm             49694.55
sn1994ae-19941209.50-fast.flm             49695.50
sn1994ae-19941228.49-fast.flm             49714.49
sn1994ae-19950103.48-fast.flm             49720.48
sn1994ae-19950107.37-fast.flm             49724.37
sn1994ae-19950131.40-fast.flm             49748.40
sn1994ae-19950206.45-fast.flm             49754.45
sn1994ae-19950224.33-fast.flm             49772.33
sn1994ae-19950501.20-fast.flm             49838.20
sn1994ae-19951202.47-mmt.flm              50053.47
sn1995D-19950224.30-fast.flm              49772.30
sn1995D-19950226.28-fast.flm              49774.28
sn1995D-19950228.26-fast.flm              49776.26
sn1995D-19950302.30-fast.flm              49778.30
sn1995D-19950304.34-fast.flm              49780.34
sn1995D-19950307.32-fast.flm              49783.32
sn1995D-19950309.29-mmt.flm               49785.29
sn1995D-19950331.17-mmt.flm               49807.17
sn1995D-19950404.23-fast.flm              49811.23
sn1995D-19950426.14-fast.flm              49833.14
sn1995D-19950501.15-fast.flm              49838.15
sn1995D-19950525.20-fast.flm              49862.20
sn1995D-19951124.46-mmt.flm               50045.46
sn1995D-19951202.44-mmt.flm               50053.44
sn1995E-19950224.27-fast.flm              49772.27
sn1995E-19950226.27-fast.flm              49774.27
sn1995E-19950228.23-fast.flm              49776.23
sn1995E-19950303.16-fast.flm              49779.16
sn1995E-19950305.17-fast.flm              49781.17
sn1995E-19950308.16-mmt.flm               49784.16
sn1995E-19950331.22-mmt.flm               49807.22
sn1995Y-19950916.49-fast.flm              49976.49
sn1995Y-19950919.33-fast.flm              49979.33
sn1995Y-19950922.41-fast.flm              49982.41
sn1995Y-19950924.37-fast.flm              49984.37
sn1995ac-19950927.31-fast.flm             49987.31
sn1995ac-19950929.27-fast.flm             49989.27
sn1995ac-19951028.23-fast.flm             50018.23
sn1995ac-19951123.07-mmt.flm              50044.07
sn1995ak-19951114.25-fast.flm             50035.25
sn1995ak-19951118.33-fast.flm             50039.33
sn1995ak-19951123.38-fast.flm             50044.38
sn1995ak-19951127.26-fast.flm             50048.26
sn1995ak-19951222.23-fast.flm             50073.23
sn1995ak-19960115.17-fast.flm             50097.17
sn1995al-19951114.52-fast.flm             50035.52
sn1995al-19951116.51-fast.flm             50037.51
sn1995al-19951118.53-fast.flm             50039.53
sn1995al-19951121.45-fast.flm             50042.45
sn1995al-19951123.54-fast.flm             50044.54
sn1995al-19951124.51-mmt.flm              50045.51
sn1995al-19951124.53-fast.flm             50045.53
sn1995al-19951126.46-fast.flm             50047.46
sn1995al-19951127.52-fast.flm             50048.52
sn1995al-19951203.40-mmt.flm              50054.40
sn1995al-19951222.47-fast.flm             50073.47
sn1995al-19960115.35-fast.flm             50097.35
sn1995al-19960210.31-fast.flm             50123.31
sn1995bd-19951223.34-fast.flm             50074.34
sn1995bd-19951225.27-fast.flm             50076.27
sn1995bd-19951226.26-fast.flm             50077.26
sn1995bd-19951228.25-fast.flm             50079.25
sn1995bd-19960115.24-fast.flm             50097.24
sn1995bd-19960125.23-fast.flm             50107.23
sn1995bd-19960210.19-fast.flm             50123.19
sn1995bd-19960224.11-mmt.flm              50137.11
sn1995bd-19960317.12-mmt.flm              50159.12
sn1996C-19960217.48-fast.flm              50130.48
sn1996C-19960220.40-fast.flm              50133.40
sn1996C-19960223.44-mmt.flm               50136.44
sn1996V-19960411.24-fast.flm              50184.24
sn1996X-19960414.32-fast.flm              50187.32
sn1996X-19960415.32-fast.flm              50188.32
sn1996X-19960416.44-fast.flm              50189.44
sn1996X-19960417.33-fast.flm              50190.33
sn1996X-19960418.31-fast.flm              50191.31
sn1996X-19960419.30-fast.flm              50192.30
sn1996X-19960420.31-fast.flm              50193.31
sn1996X-19960425.29-fast.flm              50198.29
sn1996X-19960426.28-fast.flm              50199.28
sn1996X-19960508.26-fast.flm              50211.26
sn1996X-19960510.25-fast.flm              50213.25
sn1996X-19960516.24-fast.flm              50219.24
sn1996X-19960521.22-fast.flm              50224.22
sn1996X-19960606.19-fast.flm              50240.19
sn1996X-19960615.28-fast.flm              50249.28
sn1996Z-19960518.18-fast.flm              50221.18
sn1996Z-19960520.17-fast.flm              50223.17
sn1996Z-19960522.17-fast.flm              50225.17
sn1996Z-19960524.18-fast.flm              50227.18
sn1996Z-19960528.16-fast.flm              50231.16
sn1996Z-19960606.17-fast.flm              50240.17
sn1996ab-19960522.37-fast.flm             50225.37
sn1996ac-19960524.19-fast.flm             50227.19
sn1996ai-19960620.17-fast.flm             50254.17
sn1996ai-19960620.15-mmt.flm              50254.15
sn1996ai-19960621.23-fast.flm             50255.23
sn1996ai-19960623.27-fast.flm             50257.27
sn1996ai-19960625.26-fast.flm             50259.26
sn1996ai-19960706.23-fast.flm             50270.23
sn1996ai-19960716.18-fast.flm             50280.18
sn1996bk-19961015.10-fast.flm             50371.10
sn1996bl-19961016.29-fast.flm             50372.29
sn1996bl-19961018.18-fast.flm             50374.18
sn1996bl-19961103.25-fast.flm             50390.25
sn1996bl-19961108.24-fast.flm             50395.24
sn1996bo-19961103.27-fast.flm             50390.27
sn1996bo-19961105.24-fast.flm             50392.24
sn1996bo-19961107.15-fast.flm             50394.15
sn1996bo-19961109.28-fast.flm             50396.28
sn1996bo-19961111.27-fast.flm             50398.27
sn1996bt-19961112.44-fast.flm             50399.44
sn1996bv-19970102.33-fast.flm             50450.33
sn1996by-19961217.37-fast.flm             50434.37
sn1996by-19961218.27-fast.flm             50435.27
sn1996by-19970102.31-fast.flm             50450.31
sn1996by-19970108.33-fast.flm             50456.33
sn1996by-19970109.33-fast.flm             50457.33
sn1996by-19970131.24-fast.flm             50479.24
sn1996ca-19961217.10-fast.flm             50434.10
sn1996ca-19961218.09-fast.flm             50435.09
sn1996ca-19970102.09-fast.flm             50450.09
sn1996ca-19970110.10-fast.flm             50458.10
sn1997E-19970116.25-fast.flm              50464.25
sn1997E-19970131.26-fast.flm              50479.26
sn1997E-19970209.23-fast.flm              50488.23
sn1997E-19970302.13-fast.flm              50509.13
sn1997Y-19970209.41-fast.flm              50488.41
sn1997Y-19970210.40-fast.flm              50489.40
sn1997Y-19970214.47-fast.flm              50493.47
sn1997Y-19970302.35-fast.flm              50509.35
sn1997bp-19970407.42-mmt.flm              50545.42
sn1997bp-19970409.29-fast.flm             50547.29
sn1997bp-19970410.27-fast.flm             50548.27
sn1997bp-19970411.30-fast.flm             50549.30
sn1997bp-19970412.31-fast.flm             50550.31
sn1997bp-19970413.31-fast.flm             50551.31
sn1997bp-19970414.30-fast.flm             50552.30
sn1997bp-19970429.26-fast.flm             50567.26
sn1997bp-19970508.15-fast.flm             50576.15
sn1997bp-19970512.22-fast.flm             50580.22
sn1997bp-19970530.18-fast.flm             50598.18
sn1997bp-19970604.20-fast.flm             50603.20
sn1997bp-19970610.20-fast.flm             50609.20
sn1997bq-19970408.14-mmt.flm              50546.14
sn1997bq-19970409.15-fast.flm             50547.15
sn1997bq-19970410.16-fast.flm             50548.16
sn1997bq-19970411.13-fast.flm             50549.13
sn1997bq-19970412.13-fast.flm             50550.13
sn1997bq-19970413.22-fast.flm             50551.22
sn1997bq-19970414.21-fast.flm             50552.21
sn1997bq-19970429.17-fast.flm             50567.17
sn1997bq-19970501.17-fast.flm             50569.17
sn1997bq-19970502.19-mmt.flm              50570.19
sn1997bq-19970509.16-fast.flm             50577.16
sn1997bq-19970531.18-fast.flm             50599.18
sn1997bq-19970606.18-fast.flm             50605.18
sn1997br-19970413.32-fast.flm             50551.32
sn1997br-19970414.31-fast.flm             50552.31
sn1997br-19970429.28-fast.flm             50567.28
sn1997br-19970501.27-fast.flm             50569.27
sn1997br-19970503.29-mmt.flm              50571.29
sn1997br-19970508.26-fast.flm             50576.26
sn1997br-19970512.25-fast.flm             50580.25
sn1997br-19970529.24-fast.flm             50597.24
sn1997br-19970602.19-fast.flm             50601.19
sn1997br-19970609.18-fast.flm             50608.18
sn1997br-19970702.17-mmt.flm              50631.17
sn1997by-19970430.30-fast.flm             50568.30
sn1997by-19970501.29-fast.flm             50569.29
sn1997by-19970509.24-fast.flm             50577.24
sn1997bz-19970430.19-fast.flm             50568.19
sn1997bz-19970502.15-mmt.flm              50570.15
sn1997cn-19970529.27-fast.flm             50597.27
sn1997cn-19970530.20-fast.flm             50598.20
sn1997cn-19970531.33-fast.flm             50599.33
sn1997cn-19970601.35-fast.flm             50600.35
sn1997cn-19970602.36-fast.flm             50601.36
sn1997cn-19970603.23-fast.flm             50602.23
sn1997cn-19970605.30-fast.flm             50604.30
sn1997cn-19970607.18-fast.flm             50606.18
sn1997cn-19970608.29-fast.flm             50607.29
sn1997cn-19970609.21-fast.flm             50608.21
sn1997cn-19970611.22-fast.flm             50610.22
sn1997cn-19970701.25-mmt.flm              50630.25
sn1997ct-19970701.29-fast.flm             50630.29
sn1997cw-19970714.46-fast.flm             50643.46
sn1997cw-19970907.43-mmt.flm              50698.43
sn1997do-19971102.46-fast.flm             50754.46
sn1997do-19971103.43-fast.flm             50755.43
sn1997do-19971106.51-fast.flm             50758.51
sn1997do-19971107.51-fast.flm             50759.51
sn1997do-19971122.45-fast.flm             50774.45
sn1997do-19971124.45-fast.flm             50776.45
sn1997do-19971125.38-fast.flm             50777.38
sn1997do-19971126.37-fast.flm             50778.37
sn1997do-19971128.50-fast.flm             50780.50
sn1997do-19971129.55-fast.flm             50781.55
sn1997do-19971204.33-fast.flm             50786.33
sn1997do-19971205.30-fast.flm             50787.30
sn1997do-19971205.35-mmt.flm              50787.35
sn1997do-19980101.40-fast.flm             50814.40
sn1997dt-19971123.19-fast.flm             50775.19
sn1997dt-19971124.09-fast.flm             50776.09
sn1997dt-19971125.11-fast.flm             50777.11
sn1997dt-19971126.14-fast.flm             50778.14
sn1997dt-19971129.11-fast.flm             50781.11
sn1997dt-19971204.11-fast.flm             50786.11
sn1997dt-19971206.11-fast.flm             50788.11
sn1997dt-19971228.12-fast.flm             50810.12
sn1998D-19980222.43-fast.flm              50866.43
sn1998D-19980224.49-fast.flm              50868.49
sn1998D-19980304.42-fast.flm              50876.42
sn1998D-19980321.50-fast.flm              50893.50
sn1998V-19980319.51-fast.flm              50891.51
sn1998V-19980320.50-fast.flm              50892.50
sn1998V-19980321.51-fast.flm              50893.51
sn1998V-19980331.48-fast.flm              50903.48
sn1998V-19980401.50-fast.flm              50904.50
sn1998V-19980403.49-fast.flm              50906.49
sn1998V-19980419.50-fast.flm              50922.50
sn1998V-19980429.50-fast.flm              50932.50
sn1998V-19980502.49-fast.flm              50935.49
sn1998ab-19980403.38-fast.flm             50906.38
sn1998ab-19980418.28-fast.flm             50921.28
sn1998ab-19980419.29-fast.flm             50922.29
sn1998ab-19980429.28-fast.flm             50932.28
sn1998ab-19980430.26-fast.flm             50933.26
sn1998ab-19980501.27-fast.flm             50934.27
sn1998ab-19980502.26-fast.flm             50935.26
sn1998ab-19980503.26-fast.flm             50936.26
sn1998ab-19980504.28-fast.flm             50937.28
sn1998ab-19980516.24-fast.flm             50949.24
sn1998ab-19980518.22-fast.flm             50951.22
sn1998ab-19980528.24-fast.flm             50961.24
sn1998ab-19980601.22-fast.flm             50965.22
sn1998an-19980418.17-fast.flm             50921.17
sn1998aq-19980418.29-fast.flm             50921.29
sn1998aq-19980419.26-fast.flm             50922.26
sn1998aq-19980424.37-fast.flm             50927.37
sn1998aq-19980427.29-fast.flm             50930.29
sn1998aq-19980428.26-fast.flm             50931.26
sn1998aq-19980429.26-fast.flm             50932.26
sn1998aq-19980430.24-fast.flm             50933.24
sn1998aq-19980501.25-fast.flm             50934.25
sn1998aq-19980502.23-fast.flm             50935.23
sn1998aq-19980503.24-fast.flm             50936.24
sn1998aq-19980504.26-fast.flm             50937.26
sn1998aq-19980516.17-fast.flm             50949.17
sn1998aq-19980518.20-fast.flm             50951.20
sn1998aq-19980528.22-fast.flm             50961.22
sn1998aq-19980529.19-fast.flm             50962.19
sn1998aq-19980531.20-fast.flm             50964.20
sn1998aq-19980602.23-fast.flm             50966.23
sn1998aq-19980617.16-fast.flm             50981.16
sn1998aq-19980621.18-fast.flm             50985.18
sn1998aq-19980624.19-fast.flm             50988.19
sn1998aq-19980626.18-fast.flm             50990.18
sn1998aq-19980629.17-fast.flm             50993.17
sn1998aq-19980702.17-fast.flm             50996.17
sn1998aq-19980715.21-fast.flm             51009.21
sn1998aq-19980718.18-fast.flm             51012.18
sn1998aq-19980727.17-fast.flm             51021.17
sn1998aq-19981124.54-fast.flm             51141.54
sn1998aq-19981214.54-fast.flm             51161.54
sn1998aq-19981224.54-fast.flm             51171.54
sn1998bn-19980428.24-fast.flm             50931.24
sn1998bn-19980430.27-fast.flm             50933.27
sn1998bn-19980501.25-fast.flm             50934.25
sn1998bn-19980502.24-fast.flm             50935.24
sn1998bn-19980504.25-fast.flm             50937.25
sn1998bn-19980518.18-fast.flm             50951.18
sn1998bp-19980430.47-fast.flm             50933.47
sn1998bp-19980501.47-fast.flm             50934.47
sn1998bp-19980502.47-fast.flm             50935.47
sn1998bp-19980503.45-fast.flm             50936.45
sn1998bp-19980504.39-fast.flm             50937.39
sn1998bp-19980516.44-fast.flm             50949.44
sn1998bp-19980518.36-fast.flm             50951.36
sn1998bp-19980528.47-fast.flm             50961.47
sn1998bp-19980529.42-fast.flm             50962.42
sn1998bp-19980531.40-fast.flm             50964.40
sn1998bp-19980602.35-fast.flm             50966.35
sn1998bp-19980719.25-fast.flm             51013.25
sn1998bu-19980516.15-fast.flm             50949.15
sn1998bu-19980517.15-fast.flm             50950.15
sn1998bu-19980518.16-fast.flm             50951.16
sn1998bu-19980520.15-fast.flm             50953.15
sn1998bu-19980528.19-fast.flm             50961.19
sn1998bu-19980529.18-fast.flm             50962.18
sn1998bu-19980530.17-fast.flm             50963.17
sn1998bu-19980531.18-fast.flm             50964.18
sn1998bu-19980601.18-fast.flm             50965.18
sn1998bu-19980602.20-fast.flm             50966.20
sn1998bu-19980616.17-fast.flm             50980.17
sn1998bu-19980617.14-fast.flm             50981.14
sn1998bu-19980618.14-fast.flm             50982.14
sn1998bu-19980619.14-fast.flm             50983.14
sn1998bu-19980620.14-fast.flm             50984.14
sn1998bu-19980621.16-fast.flm             50985.16
sn1998bu-19980622.16-fast.flm             50986.16
sn1998bu-19980623.17-fast.flm             50987.17
sn1998bu-19980624.17-fast.flm             50988.17
sn1998bu-19980625.17-fast.flm             50989.17
sn1998bu-19980626.17-fast.flm             50990.17
sn1998bu-19980627.20-fast.flm             50991.20
sn1998bu-19980628.16-fast.flm             50992.16
sn1998bu-19980629.16-fast.flm             50993.16
sn1998bu-19980630.17-fast.flm             50994.17
sn1998bu-19980701.16-fast.flm             50995.16
sn1998bu-19980702.16-fast.flm             50996.16
sn1998bu-19980715.17-fast.flm             51009.17
sn1998bu-19981114.51-fast.flm             51131.51
sn1998bu-19981125.54-fast.flm             51142.54
sn1998bu-19981213.54-fast.flm             51160.54
sn1998bu-19981222.48-fast.flm             51169.48
sn1998bu-19990117.46-fast.flm             51195.46
sn1998cn-19980619.16-fast.flm             50983.16
sn1998co-19980623.45-fast.flm             50987.45
sn1998co-19980624.45-fast.flm             50988.45
sn1998co-19980627.46-fast.flm             50991.46
sn1998co-19980630.47-fast.flm             50994.47
sn1998co-19980716.41-fast.flm             51010.41
sn1998co-19980718.47-fast.flm             51012.47
sn1998co-19980722.40-fast.flm             51016.40
sn1998co-19980730.45-fast.flm             51024.45
sn1998cs-19980701.20-fast.flm             50995.20
sn1998cs-19980719.23-fast.flm             51013.23
sn1998cs-19980721.20-fast.flm             51015.20
sn1998cs-19980723.26-fast.flm             51017.26
sn1998de-19980725.46-fast.flm             51019.46
sn1998de-19980726.47-fast.flm             51020.47
sn1998de-19980727.45-fast.flm             51021.45
sn1998de-19980729.50-fast.flm             51023.50
sn1998de-19980730.46-fast.flm             51024.46
sn1998de-19980801.41-fast.flm             51026.41
sn1998de-19980804.46-fast.flm             51029.46
sn1998dh-19980726.44-fast.flm             51020.44
sn1998dh-19980727.40-fast.flm             51021.40
sn1998dh-19980728.40-fast.flm             51022.40
sn1998dh-19980730.44-fast.flm             51024.44
sn1998dh-19980801.40-fast.flm             51026.40
sn1998dh-19980804.36-fast.flm             51029.36
sn1998dh-19980910.37-fast.flm             51066.37
sn1998dh-19980914.36-fast.flm             51070.36
sn1998dh-19980917.40-fast.flm             51073.40
sn1998dh-19980919.32-fast.flm             51075.32
sn1998dk-19980910.40-fast.flm             51066.40
sn1998dk-19980911.34-fast.flm             51067.34
sn1998dk-19980913.39-fast.flm             51069.39
sn1998dk-19980916.40-fast.flm             51072.40
sn1998dk-19980918.39-fast.flm             51074.39
sn1998dk-19980921.37-fast.flm             51077.37
sn1998dk-19980923.38-fast.flm             51079.38
sn1998dk-19980930.35-fast.flm             51086.35
sn1998dk-19981015.33-fast.flm             51101.33
sn1998dk-19981024.26-fast.flm             51110.26
sn1998dm-19980910.42-fast.flm             51066.42
sn1998dm-19980911.33-fast.flm             51067.33
sn1998dm-19980913.43-fast.flm             51069.43
sn1998dm-19980916.41-fast.flm             51072.41
sn1998dm-19980918.40-fast.flm             51074.40
sn1998dm-19980921.41-fast.flm             51077.41
sn1998dm-19980923.39-fast.flm             51079.39
sn1998dm-19980930.36-fast.flm             51086.36
sn1998dm-19981015.34-fast.flm             51101.34
sn1998dm-19981023.36-fast.flm             51109.36
sn1998dx-19980914.18-fast.flm             51070.18
sn1998dx-19980915.22-fast.flm             51071.22
sn1998dx-19980917.13-fast.flm             51073.13
sn1998dx-19980918.15-fast.flm             51074.15
sn1998dx-19980922.12-fast.flm             51078.12
sn1998dx-19980924.16-fast.flm             51080.16
sn1998dx-19980929.13-fast.flm             51085.13
sn1998eb-19980919.49-fast.flm             51075.49
sn1998ec-19980929.52-fast.flm             51085.52
sn1998ec-19980930.50-fast.flm             51086.50
sn1998ec-19981015.48-fast.flm             51101.48
sn1998ec-19981023.48-fast.flm             51109.48
sn1998ec-19981029.50-fast.flm             51115.50
sn1998ec-19981111.52-fast.flm             51128.52
sn1998ef-19981023.37-fast.flm             51109.37
sn1998ef-19981024.30-fast.flm             51110.30
sn1998ef-19981029.31-fast.flm             51115.31
sn1998ef-19981115.25-fast.flm             51132.25
sn1998eg-19981024.15-fast.flm             51110.15
sn1998eg-19981029.19-fast.flm             51115.19
sn1998eg-19981030.16-fast.flm             51116.16
sn1998eg-19981111.16-fast.flm             51128.16
sn1998eg-19981113.19-fast.flm             51130.19
sn1998eg-19981117.18-fast.flm             51134.18
sn1998es-19981114.22-fast.flm             51131.22
sn1998es-19981115.25-fast.flm             51132.25
sn1998es-19981116.25-fast.flm             51133.25
sn1998es-19981117.20-fast.flm             51134.20
sn1998es-19981118.28-fast.flm             51135.28
sn1998es-19981119.28-fast.flm             51136.28
sn1998es-19981120.26-fast.flm             51137.26
sn1998es-19981121.23-fast.flm             51138.23
sn1998es-19981122.26-fast.flm             51139.26
sn1998es-19981123.30-fast.flm             51140.30
sn1998es-19981125.22-fast.flm             51142.22
sn1998es-19981126.22-fast.flm             51143.22
sn1998es-19981127.21-fast.flm             51144.21
sn1998es-19981210.19-fast.flm             51157.19
sn1998es-19981212.18-fast.flm             51159.18
sn1998es-19981213.18-fast.flm             51160.18
sn1998es-19981214.18-fast.flm             51161.18
sn1998es-19981219.08-fast.flm             51166.08
sn1998es-19981221.09-fast.flm             51168.09
sn1998es-19981225.14-fast.flm             51172.14
sn1998es-19990109.22-fast.flm             51187.22
sn1998es-19990116.11-fast.flm             51194.11
sn1998es-19990121.14-fast.flm             51199.14
sn1998es-19990207.13-fast.flm             51216.13
sn1998es-19990214.12-fast.flm             51223.12
sn1998es-19990223.12-fast.flm             51232.12
sn1998ex-19981130.51-fast.flm             51147.51
sn1999X-19990206.28-fast.flm              51215.28
sn1999X-19990207.41-fast.flm              51216.41
sn1999X-19990209.32-fast.flm              51218.32
sn1999X-19990210.34-fast.flm              51219.34
sn1999X-19990215.29-fast.flm              51224.29
sn1999X-19990223.27-fast.flm              51232.27
sn1999aa-19990213.35-fast.flm             51222.35
sn1999aa-19990214.33-fast.flm             51223.33
sn1999aa-19990215.28-fast.flm             51224.28
sn1999aa-19990216.24-fast.flm             51225.24
sn1999aa-19990217.26-fast.flm             51226.26
sn1999aa-19990218.25-fast.flm             51227.25
sn1999aa-19990219.28-fast.flm             51228.28
sn1999aa-19990220.29-fast.flm             51229.29
sn1999aa-19990221.29-fast.flm             51230.29
sn1999aa-19990223.25-fast.flm             51232.25
sn1999aa-19990309.25-fast.flm             51246.25
sn1999aa-19990310.23-fast.flm             51247.23
sn1999aa-19990311.23-fast.flm             51248.23
sn1999aa-19990312.29-fast.flm             51249.29
sn1999aa-19990322.27-fast.flm             51259.27
sn1999aa-19990323.19-fast.flm             51260.19
sn1999aa-19990324.18-fast.flm             51261.18
sn1999aa-19990325.12-fast.flm             51262.12
sn1999aa-19990407.15-fast.flm             51275.15
sn1999aa-19990409.14-fast.flm             51277.14
sn1999aa-19990411.22-fast.flm             51279.22
sn1999aa-19990413.14-fast.flm             51281.14
sn1999aa-19990415.16-fast.flm             51283.16
sn1999aa-19990417.16-fast.flm             51285.16
sn1999aa-19990419.21-fast.flm             51287.21
sn1999aa-19990421.15-fast.flm             51289.15
sn1999aa-19990507.16-fast.flm             51305.16
sn1999aa-19990516.17-fast.flm             51314.17
sn1999ac-19990309.53-fast.flm             51246.53
sn1999ac-19990310.53-fast.flm             51247.53
sn1999ac-19990312.53-fast.flm             51249.53
sn1999ac-19990322.51-fast.flm             51259.51
sn1999ac-19990323.51-fast.flm             51260.51
sn1999ac-19990324.51-fast.flm             51261.51
sn1999ac-19990325.50-fast.flm             51262.50
sn1999ac-19990407.46-fast.flm             51275.46
sn1999ac-19990409.45-fast.flm             51277.45
sn1999ac-19990411.48-fast.flm             51279.48
sn1999ac-19990413.47-fast.flm             51281.47
sn1999ac-19990415.45-fast.flm             51283.45
sn1999ac-19990417.50-fast.flm             51285.50
sn1999ac-19990419.44-fast.flm             51287.44
sn1999ac-19990421.46-fast.flm             51289.46
sn1999ac-19990423.46-fast.flm             51291.46
sn1999ac-19990507.38-fast.flm             51305.38
sn1999ac-19990515.38-fast.flm             51313.38
sn1999ac-19990608.38-fast.flm             51337.38
sn1999be-19990408.14-fast.flm             51276.14
sn1999be-19990412.17-fast.flm             51280.17
sn1999be-19990418.18-fast.flm             51286.18
sn1999bh-19990409.27-fast.flm             51277.27
sn1999bt-19990414.49-fast.flm             51282.49
sn1999bt-19990416.43-fast.flm             51284.43
sn1999bv-19990421.49-fast.flm             51289.49
sn1999by-19990506.22-fast.flm             51304.22
sn1999by-19990507.14-fast.flm             51305.14
sn1999by-19990508.15-fast.flm             51306.15
sn1999by-19990509.18-fast.flm             51307.18
sn1999by-19990513.18-fast.flm             51311.18
sn1999by-19990514.15-fast.flm             51312.15
sn1999by-19990515.16-fast.flm             51313.16
sn1999by-19990516.17-fast.flm             51314.17
sn1999by-19990517.16-fast.flm             51315.16
sn1999by-19990518.14-fast.flm             51316.14
sn1999by-19990519.14-fast.flm             51317.14
sn1999by-19990521.14-fast.flm             51319.14
sn1999by-19990522.14-fast.flm             51320.14
sn1999by-19990605.17-fast.flm             51334.17
sn1999by-19990609.17-fast.flm             51338.17
sn1999by-19990611.16-fast.flm             51340.16
sn1999by-19990613.16-fast.flm             51342.16
sn1999by-19990622.17-fast.flm             51351.17
sn1999cb-19990514.38-fast.flm             51312.38
sn1999cc-19990514.36-fast.flm             51312.36
sn1999cc-19990516.34-fast.flm             51314.34
sn1999cc-19990517.40-fast.flm             51315.40
sn1999cc-19990519.36-fast.flm             51317.36
sn1999cc-19990605.35-fast.flm             51334.35
sn1999cc-19990610.37-fast.flm             51339.37
sn1999cc-19990612.32-fast.flm             51341.32
sn1999ce-19990518.24-fast.flm             51316.24
sn1999cf-19990605.21-fast.flm             51334.21
sn1999cf-19990607.17-fast.flm             51336.17
sn1999cf-19990610.29-fast.flm             51339.29
sn1999cl-19990605.19-fast.flm             51334.19
sn1999cl-19990606.18-fast.flm             51335.18
sn1999cl-19990608.24-fast.flm             51337.24
sn1999cl-19990609.24-fast.flm             51338.24
sn1999cl-19990610.22-fast.flm             51339.22
sn1999cl-19990611.18-fast.flm             51340.18
sn1999cl-19990612.17-fast.flm             51341.17
sn1999cl-19990614.18-fast.flm             51343.18
sn1999cl-19990618.17-fast.flm             51347.17
sn1999cl-19990621.17-fast.flm             51350.17
sn1999cl-19990721.17-fast.flm             51380.17
sn1999cm-19990608.26-fast.flm             51337.26
sn1999cm-19990611.28-fast.flm             51340.28
sn1999cp-19990619.19-fast.flm             51348.19
sn1999cp-19990620.28-fast.flm             51349.28
sn1999cp-19990622.20-fast.flm             51351.20
sn1999cw-19990717.48-fast.flm             51376.48
sn1999cw-19990720.46-fast.flm             51379.46
sn1999da-19990709.45-fast.flm             51368.45
sn1999dq-19990904.48-fast.flm             51425.48
sn1999dq-19990905.45-fast.flm             51426.45
sn1999dq-19990906.43-fast.flm             51427.43
