#SN      Host Galaxy      Date         R.A.    Decl.    Offset   Mag.   Disc. Ref.            SN Position         Posn. Ref.       Type  SN      Discoverer(s)

2014L   NGC 4254         2014 01 26  12 18.8 +14 25   14W  16S  17.2   CBET 3795       12 18 48.68 +14 24 43.5   CBET 3795        Ic    2014L   Zhang, Wang et al. (THU-NAOC Transient Survey)
2014K   Anon.            2014 01 22  08 51.1 +71 51    1W   7N  15.4   CBET 3794       08 51 08.15 +71 50 33.9   CBET 3794        Ia    2014K   Cortini
2014J   NGC 3034         2014 01 21  09 55.7 +69 40   54W  21S  10.5   CBET 3792       09 55 42.14 +69 40 26.0   CBET 3792        Ia    2014J   Fossey
2014I   Anon.            2014 01 17  05 42.3 -25 33   15W  12S  17.0   CBET 3791       05 42 19.80 -25 32 39.9   CBET 3790        Ia    2014I   Parker
2014H   Anon.            2014 01 14  03 37.0 +32 05    0E   9N  16.8   CBET 3788       03 37 01.48 +32 05 01.7   CBET 3788        Ia    2014H   Li, Mo, Wang, Zhang (THU-NAOC Transient Survey)
2014G   NGC 3448         2014 01 14  10 54.6 +54 18   44W  20S  15.6   CBET 3787       10 54 34.13 +54 17 56.9   CBET 3787        IIn   2014G   Itagaki; Wiggins
2014F   NGC 6667         2014 01 11  18 30.5 +67 59   44W  15N  16.8   CBET 3785       18 30 31.79 +67 59 29.7   CBET 3785        II    2014F   Itagaki
2014E   UGC 7034         2014 01 07  12 03.5 +02 03   96W  13S  16.4   CBET 3784       12 03 31.24 +02 02 35.7   CBET 3784        Ia    2014E   Howerton, Drake et al. (Catalina Real-time Transient Survey)
2014D   UGC 7170         2014 01 01  12 10.6 +18 50    3W   5S  17.0   CBET 3778       12 10 36.76 +18 49 35.4   CBET 3778        Ia    2014D   Howerton, Drake et al. (Catalina Real-time Transient Survey)
2014C   NGC 7331         2014 01 05  22 37.1 +34 25   20E  24S  15.5   CBET 3777       22 37 05.60 +34 24 31.9   CBET 3777        Ib    2014C   Kim, Zheng et al. (LOSS)
2014B   NGC 4939         2014 01 02  13 04.3 -10 20   49E  22N  17.0   CBET 3772       13 04 17.70 -10 20 01.2   CBET 3772        IIP   2014B   Kim, Zheng et al. (LOSS)
2014A   NGC 5054         2014 01 01  13 17.0 -16 38   12E   9N  16.4   CBET 3771       13 16 59.36 -16 37 57.0   CBET 3771        IIP   2014A   Kim, Zheng et al. (LOSS)

2013hw  Anon.            2013 12 30  10 32.9 -01 55    8E   5S  17.1   CBET 3789       10 32 55.43 -01 55 13.6   CBET 3789        Ia    2013hw  Shurpakov (MASTER)
2013hv  ESO 501-G102     2013 11 18  10 51.0 -23 39   13E   2N  17.8   CBET 3786       10 50 59.27 -23 39 29.4   CBET 3786        Ic    2013hv  Antezana, Pignata et al. (CHASE)
2013hu  NGC 3693         2013 12 28  11 28.1 -13 12   54W   7N  17.4   CBET 3776       11 28 07.86 -13 11 33.6   CBET 3776        IIP   2013hu  Itagaki
2013ht  MCG -02-28-21    2013 12 31  10 55.8 -09 52   26E   6S  18.9   CBET 3773       10 55 50.95 -09 51 42.4   CBET 3773        II    2013ht  Howerton, Drake et al. (Catalina Real-time Transient Survey)
2013hs  UGC 1461         2013 12 25  01 58.9 +05 35    4E  12S  15.8   CBET 3770       01 58 53.69 +05 35 25.4   CBET 3770        Ia    2013hs  Howerton, Drake et al. (Catalina Real-time Transient Survey)
2013hr  NGC 5818         2013 12 26  14 59.0 +49 49   24E  29S  16.2   CBET 3769       14 59 00.85 +49 48 47.6   CBET 3769        Ia    2013hr  Balanutsa (MASTER)
2013hq  NGC 7276         2013 12 13  22 24.2 +36 05   14W  14S  17.1   CBET 3768       22 24 13.21 +36 05 00.8   CBET 3768        Ia    2013hq  Itagaki
2013hp  UGC 12432        2013 12 12  23 14.0 +24 54   26E   4S  18.0   CBET 3764       23 13 59.72 +24 53 38.9   CBET 3764        Ia    2013hp  Li, Wang, Zhang (THU-NAOC Transient Survey)
2013ho  MCG +8-15-39     2013 11 01  08 07.0 +46 08    9E  10S  17.4   CBET 3763       08 06 59.02 +46 08 11.6   CBET 3763        Ib/c  2013ho  Denisenko (MASTER)
2013hn  IC 4329          2013 12 13  13 49.0 -30 17   92W  18N  15.2   CBET 3762       13 48 59.17 -30 17 26.5   CBET 3762        Ia    2013hn  Sanders Kot, Kot, Coffin
2013hm  Anon.            2013 11 26  17 50.8 +47 12   44W   0S  17.0   CBET 3760       17 50 48.49 +47 11 50.9   CBET 3760        Ia    2013hm  Denisenko (MASTER)
2013hl  NGC 3910         2013 12 13  11 50.0 +21 20   12E  15N  16.7   CBET 3759       11 50 00.16 +21 20 16.6   CBET 3759        Ia    2013hl  Itagaki
2013hk  Anon.            2013 12 04  03 02.2 +15 56             15.9   CBET 3758       03 02 10.85 +15 55 38.8   CBET 3758        Ia    2013hk  Shappee, Prieto et al. (ASAS-SN)
2013hj  MCG -02-24-3     2013 12 12  09 12.1 -15 26    6W   6N  14.0   CBET 3757       09 12 06.29 -15 25 46.0   CBET 3757        II    2013hj  Antezana, Pignata et al. (CHASE)
2013hi  Anon.            2013 11 11  03 14.4 +46 11   12E   0S  16.2   CBET 3756       03 14 24.73 +46 10 49.0   CBET 3756        Ia    2013hi  Denisenko (MASTER)
2013hh  UGC 6483         2013 12 11  11 29.1 +17 14   30E  15N  15.9   CBET 3754       11 29 04.37 +17 14 09.5   CBET 3754        Ia    2013hh  Turpin
2013hg  Anon.            2013 12 10  12 09.9 +29 54    2W   8S  16.9   CBET 3753       12 09 55.69 +29 53 51.3   CBET 3753        Ia    2013hg  Itagaki
2013hf  ESO 365-G16      2013 12 07  06 25.2 -37 21    5W  16S  17.0   CBET 3752       06 25 10.07 -37 20 41.3   CBET 3752        II    2013hf  Maza et al. (CATA Supernova Search)
2013he  NGC 4774         2013 12 09  12 53.1 +36 49    3W   7S  16.5   CBET 3750       12 53 06.27 +36 49 00.1   CBET 3750        IIP   2013he  Leonini et al. (Italian Supernovae Search)
2013hd  UGC 2895         2013 12 02  03 54.4 +17 35   33E   1S  19.5   CBET 3748       03 54 21.40 +17 35 04.8   CBET 3748        Ib/c  2013hd  Howerton, Drake et al. (Catalina Real-time Transient Survey)
2013hc  Anon.            2013 10 30  18 03.4 +70 14    3E   7N  18.0   CBET 3747       18 03 24.59 +70 13 30.6   CBET 3747        II-p  2013hc  Gray, Lane
2013hb  Anon.            2013 10 07  01 50.8 +33 07             17.1   CBET 3746       01 50 46.32 +33 06 35.6   CBET 3746        Ia?   2013hb  Howerton, Drake et al. (Catalina Real-time Transient Survey)
2013ha  MCG +11-8-25     2013 11 06  06 15.8 +66 50    3E   2S  17.0   CBET 3745       06 15 49.85 +66 50 19.4   CBET 3745        IIn   2013ha  Gagliano, Newton, Puckett
2013gz  UGC 10976        2013 12 02  17 46.5 +30 42    3W   5S  17.7   CBET 3744       17 46 27.70 +30 42 13.2   CBET 3744        Ia    2013gz  Cortini
2013gy  NGC 1418         2013 12 06  03 42.3 -04 43   11E  32N  18.0   CBET 3743       03 42 16.88 -04 43 18.5   CBET 3743        Ia    2013gy  Kim, Zheng et al. (LOSS)
2013gx  Anon.            2013 11 29  01 02.4 +20 33    4W  12S  17.8   CBET 3742       01 02 23.27 +20 33 21.2   CBET 3742        IIP   2013gx  Balanutsa (MASTER)
