S/N ratio \sn1993ac-19931016.49-mmt 19.5745086077
S/N ratio \sn1993ac-19931020.52-mmt 5.78590279383
S/N ratio \sn1993ae-19931213.11-mmt 11.1509552697
S/N ratio \sn1994ae-19941129.51-fast 48.1106802366
S/N ratio \sn1994ae-19941130.49-fast 53.5478894418
S/N ratio \sn1994ae-19941201.50-fast 48.7704257159
S/N ratio \sn1994ae-19941202.53-fast 54.0212260649
S/N ratio \sn1994ae-19941203.54-fast 56.9072943665
S/N ratio \sn1994ae-19941204.53-fast 55.5317941868
S/N ratio \sn1994ae-19941207.47-fast 57.3021773314
S/N ratio \sn1994ae-19941207.55-mmt 41.286201149
S/N ratio \sn1994ae-19941208.55-fast 57.2049326482
S/N ratio \sn1994ae-19941209.50-fast 50.775334404
S/N ratio \sn1994ae-19941228.49-fast 32.4215853518
S/N ratio \sn1994ae-19950103.48-fast 28.9505188486
S/N ratio \sn1994ae-19950107.37-fast 32.5957454378
S/N ratio \sn1994ae-19950131.40-fast 25.9871447393
S/N ratio \sn1994ae-19950206.45-fast 22.7847127899
S/N ratio \sn1994ae-19950224.33-fast 19.9659183639
S/N ratio \sn1994ae-19950501.20-fast 16.6900965117
S/N ratio \sn1994ae-19951202.47-mmt 1.66520826947
S/N ratio sn1994D-19940310.36-mmt 45.4509433534
S/N ratio sn1994D-19940311.41-fast 50.448866015
S/N ratio sn1994D-19940313.31-fast 40.5011194254
S/N ratio sn1994D-19940315.36-mmt 50.9667069716
S/N ratio sn1994D-19940316.37-fast 59.8945315667
S/N ratio sn1994D-19940317.35-fast 58.9285582844
S/N ratio sn1994D-19940318.36-fast 57.2582975063
S/N ratio sn1994D-19940321.35-fast 51.8741836154
S/N ratio sn1994D-19940401.28-fast 47.8192407147
S/N ratio sn1994D-19940403.36-fast 48.1105484596
S/N ratio sn1994D-19940405.34-fast 40.5561084611
S/N ratio sn1994D-19940407.42-fast 38.8093814814
S/N ratio sn1994D-19940410.26-fast 37.7361516428
S/N ratio sn1994D-19940411.23-fast 33.0905728685
S/N ratio sn1994D-19940430.32-fast 25.4737260716
S/N ratio sn1994D-19940503.25-fast 25.7109593761
S/N ratio sn1994D-19940506.28-fast 12.7145917653
S/N ratio sn1994D-19940510.16-fast 24.7729913578
S/N ratio sn1994D-19940515.20-fast 19.8708532888
S/N ratio sn1994D-19940516.18-fast 17.982547186
S/N ratio sn1994D-19940517.17-fast 16.4978163767
S/N ratio sn1994D-19940519.18-fast 18.716715576
S/N ratio sn1994D-19940602.18-fast 14.905229833
S/N ratio sn1994D-19940604.22-fast 14.5174517929
S/N ratio sn1994D-19940612.23-mmt 22.8163647855
S/N ratio sn1994D-19951124.46-mmt 1.55202335347
S/N ratio sn1994M-19940504.15-fast 19.5919674786
S/N ratio sn1994M-19940505.17-fast 18.6095009607
