Download  Object Name SN Type SNID Match  Filename  Observation Date  Phase (Peak | Discovery)  Instrument  Wavelength Range  S/N Ratio Observer | Reducer  Reference
SN 2000cx Ia-pec  Ia,Ia-99aa,Ia-norm  sn2000cx-20011022.270-joined.flm  20011022.27 448.4 | 462 ESI 3929.95 - 10198.3 1.22386 Alex Filippenko, Ryan Chornock | Ryan Chornock  2012MNRAS.425.1789S
SN 2000dd Ia  Ia,Ic,Ia-norm,Ic-broad  sn2000dd-20000827-ui.flm  20000827.0  None | 17 Kast  3300.0 - 10450.0  24.5021 Alex Filippenko, Weidong Li | Ryan Chornock 2012MNRAS.425.1789S
SN 2000df Ia  Ia,Ia-norm  sn2000df-20000826-ui.flm  20000826.0  None | 9  Kast  3290.0 - 10450.0  10.528  Douglas Leonard, Weidong Li | Douglas Leonard 2012MNRAS.425.1789S
SN 2000dg Ia  Ia,Ia-norm  sn2000dg-near-20000827-ui.flm 20000827.0  None | 5  Kast  3300.0 - 10450.0  41.2639 Alex Filippenko, Weidong Li | Ryan Chornock 2012MNRAS.425.1789S
SN 2000dg Ia  Ia,Ia-norm  sn2000dg-20000906-ui.flm  20000906.0  None | 15 Kast  3300.0 - 10450.0  34.0365 Alex Filippenko, Ryan Chornock, Weidong Li | Ryan Chornock  2012MNRAS.425.1789S
SN 2000dk Ia  Ia,Ia-norm  sn2000dk-20000926-ui.flm  20000926.0  1.0 | 8 Kast  3300.0 - 10400.0  53.9516 Alex Filippenko, Ryan Chornock, Weidong Li | Ryan Chornock  2012MNRAS.425.1789S
SN 2000dk Ia  Ia,Ia-norm  sn2000dk-20001024-ui.flm  20001024.0  28.5 | 36 Kast  3300.0 - 10400.0  39.467  Alex Filippenko, Ryan Chornock | Ryan Chornock  2012MNRAS.425.1789S
SN 2000dk Ia  Ia,Ia-norm  sn2000dk-20001006-ui.flm  20001006.0  10.8 | 18 Kast  3300.0 - 10400.0  44.6689 Alex Filippenko, Ryan Chornock | Ryan Chornock  2012MNRAS.425.1789S
SN 2000dk Ia  Ia,Ia-norm  sn2000dk-20001101-ui.flm  20001101.0  36.4 | 44 Kast  3300.0 - 10400.0  22.9011 Alex Filippenko, Weidong Li | Ryan Foley  2012MNRAS.425.1789S
SN 2000dm Ia  Ia,Ia-norm  sn2000dm-20000926-ui.flm  20000926.0  None | 2  Kast  3300.0 - 10400.0  53.7303 Alex Filippenko, Ryan Chornock, Weidong Li | Ryan Chornock  2012MNRAS.425.1789S
SN 2000dm Ia  Ia,Ia-norm  sn2000dm-20001024-ui.flm  20001024.0  None | 30 Kast  3300.0 - 10400.0  25.7784 Alex Filippenko, Ryan Chornock | Ryan Chornock  2012MNRAS.425.1789S
SN 2000dm Ia  Ia,Ia-norm  sn2000dm-20001006-ui.flm  20001006.0  None | 12 Kast  3300.0 - 10400.0  41.7316 Alex Filippenko, Ryan Chornock | Ryan Chornock  2012MNRAS.425.1789S
SN 2000dm Ia  Ia,Ia-norm  sn2000dm-20001101.166-ui.flm  20001101.166  None | 38 Kast  3260.0 - 10400.0  18.7368 Alex Filippenko, Weidong Li | Ryan Foley  2012MNRAS.425.1789S
SN 2000dn Ia  Ia,Ia-norm  sn2000dn-20001024-ui.flm  20001024.0  None | 27 Kast  3300.0 - 10400.0  33.4308 Alex Filippenko, Ryan Chornock | Ryan Chornock  2012MNRAS.425.1789S
SN 2000dn Ia  Ia,Ia-norm  sn2000dn-20001006-uri.flm 20001006.0  None | 9  Kast  3300.0 - 10400.0  39.2828 Alex Filippenko, Ryan Chornock | Ryan Chornock  2012MNRAS.425.1789S
SN 2000dp Ia  Ia,Ia-99aa,Ia-norm  sn2000dp-20001024-ui.flm  20001024.0  None | 22 Kast  3300.0 - 10400.0  22.6232 Alex Filippenko, Ryan Chornock | Ryan Chornock  2012MNRAS.425.1789S
SN 2000dp Ia  Ia,Ia-norm  sn2000dp-20001006-ur.flm  20001006.0  None | 4  Kast  3300.0 - 7790.0 39.7636 Alex Filippenko, Ryan Chornock | Ryan Chornock  2012MNRAS.425.1789S
SN 2000dr Ia  Ia,Ia-91bg,Ia-norm  sn2000dr-20001024-ui.flm  20001024.0  None | 19 Kast  3300.0 - 10400.0  52.2399 Alex Filippenko, Ryan Chornock | Ryan Chornock  2012MNRAS.425.1789S
SN 2000dx Ia  Ia,Ia-norm  sn2000dx-20001101-ui.flm  20001101.0  None | 2  Kast  3300.0 - 10400.0  12.9268 Alex Filippenko, Weidong Li | Ryan Foley  2012MNRAS.425.1789S
SN 2000ej Ia? Ia,Ia-91bg,Ia-norm  sn2000ej-20001129-ui.flm  20001129.0  None | 27 Kast  3300.0 - 10450.0  8.35781 Alex Filippenko, Ryan Chornock | Ryan Chornock  2012MNRAS.425.1789S
SN 2000ey Ia  Ia,NotSN,Gal,Ia-norm  sn2000ey-20010123-ui.flm  20010123.0  None | 73 Kast  3300.0 - 10600.0  42.9234 Alex Filippenko, Ryan Chornock | Ryan Chornock  2012MNRAS.425.1789S
SN 2000ey Ia  Ia,Ia-norm  sn2000ey-20001129-ui.flm  20001129.0  None | 18 Kast  3300.0 - 10450.0  57.477  Alex Filippenko, Ryan Chornock | Ryan Chornock  2012MNRAS.425.1789S
SN 2000ey Ia  Ia,Ia-99aa,Ia-norm  sn2000ey-20001221-ui.flm  20001221.0  None | 40 Kast  3260.0 - 10520.0  40.9669 Alex Filippenko, Ryan Chornock, Maryam Modjaz | Ryan Chornock 2012MNRAS.425.1789S
SN 2000fa Ia  Ia,Ia-norm  sn2000fa-20001205-ui.flm  20001205.0  -9.8 | 5  Kast  3300.0 - 10450.0  37.0916 Alex Filippenko, Ryan Chornock | Ryan Chornock  2012MNRAS.425.1789S
SN 2000fa Ia  Ia,Ia-norm  sn2000fa-20001221-ui.flm  20001221.0  5.9 | 21  Kast  3260.0 - 10510.0  43.4864 Alex Filippenko, Ryan Chornock, Maryam Modjaz | Ryan Chornock 2012MNRAS.425.1789S
SN 2000fo Ia  Ia,Ia-norm  sn2000fo-20010123-ui.flm  20010123.0  None | 33 Kast  3300.0 - 10600.0  18.9008 Alex Filippenko, Ryan Chornock | Ryan Chornock  2012MNRAS.425.1789S
SN 2001A  Ia  Ia,Ia-norm  sn2001a-20010201-ui.flm 20010201.0  None | 31 Kast  3260.0 - 10600.0  18.2163 Alex Filippenko, Ryan Chornock, Maryam Modjaz | Ryan Chornock 2012MNRAS.425.1789S
SN 2001C  Ia  Ia,Ia-99aa,Ia-norm  sn2001C-20010123-ui.flm 20010123.0  None | 19 Kast  3300.0 - 10600.0  47.2681 Alex Filippenko, Ryan Chornock | Ryan Chornock  2012MNRAS.425.1789S
SN 2001C  Ia  Ia,Ia-norm  sn2001c-20010201-ui.flm 20010201.0  None | 28 Kast  3260.0 - 10600.0  51.7804 Alex Filippenko, Ryan Chornock, Maryam Modjaz | Ryan Chornock 2012MNRAS.425.1789S
SN 2001E  Ia  Ia,Ia-norm  sn2001e-20010201-ui.flm 20010201.0  None | 27 Kast  3260.0 - 10600.0  16.7564 Alex Filippenko, Ryan Chornock, Maryam Modjaz | Ryan Chornock 2012MNRAS.425.1789S
SN 2001G  Ia  Ia,Ia-norm  sn2001g-20010201-ui.flm 20010201.0  9.8 | 24  Kast  3260.0 - 10600.0  61.0402 Alex Filippenko, Ryan Chornock, Maryam Modjaz | Ryan Chornock 2012MNRAS.425.1789S
SN 2001L  Ia  Ia,Ia-99aa,Ia-norm  sn2001l-20010201-ui.flm 20010201.0  None | 14 Kast  3260.0 - 10600.0  24.3129 Alex Filippenko, Ryan Chornock, Maryam Modjaz | Ryan Chornock 2012MNRAS.425.1789S
SN 2001N  Ia  Ia,Ia-norm  sn2001n-20010201-ui.flm 20010201.0  13.7 | 11 Kast  3260.0 - 10600.0  21.8777 Alex Filippenko, Ryan Chornock, Maryam Modjaz | Ryan Chornock 2012MNRAS.425.1789S
SN 2001P  Ia  Ia,Ia-91bg,Ia-norm  sn2001p-20010201-ui.flm 20010201.0  None | 1  Kast  3260.0 - 10600.0  10.7535 Alex Filippenko, Ryan Chornock, Maryam Modjaz | Ryan Chornock 2012MNRAS.425.1789S
SN 2001U  Ia  Ia,Ia-norm  sn2001u-20010329-o.flm  20010329.0  None | 42 LRIS  4350.0 - 6870.0 17.9833 Alex Filippenko, Aaron Barth | Aaron Barth  2012MNRAS.425.1789S
SN 2001V  Ia  Ia,Ia-norm  sn2001v-20010516-ui.flm 20010516.0  70.9 | 86 Kast  3300.0 - 10450.0  11.5259 Alex Filippenko, Ryan Chornock | Ryan Chornock  2012MNRAS.425.1789S
SN 2001V  Ia  Ia,Ia-99aa,Ia-norm  sn2001v-20010330-ui.flm 20010330.0  24.6 | 39 Kast  3300.0 - 10500.0  59.9017 Ryan Chornock, Maryam Modjaz | Ryan Chornock  2012MNRAS.425.1789S
SN 2001V  Ia  Ia,Ia-norm  sn2001v-20010321-ui.flm 20010321.0  15.8 | 30 Kast  3300.0 - 10400.0  49.0076 Alex Filippenko, Ryan Chornock, Maryam Modjaz | Ryan Chornock 2012MNRAS.425.1789S
SN 2001V  Ia  Ia,Ia-norm  sn2001v-20010329-o.flm  20010329.0  23.6 | 38 LRIS  4350.0 - 6870.0 83.745  Alex Filippenko, Aaron Barth | Aaron Barth  2012MNRAS.425.1789S
SN 2001V  Ia  Ia,Ia-91T,Ia-norm sn2001v-20010416-o.flm  20010416.0  41.4 | 56 LRIS  4350.0 - 6870.0 66.5728 Alex Filippenko, Douglas Leonard | Aaron Barth  2012MNRAS.425.1789S
SN 2001V  Ia  Ia,Ia-99aa,Ia-norm  sn2001v-20010430-ui.flm 20010430.0  55.2 | 70 Kast  3258.0 - 10600.0  31.206  Ryan Chornock, Maryam Modjaz | Ryan Chornock  2012MNRAS.425.1789S
SN 2001ay Ia  Ia,Ia-99aa,Ia-norm  sn2001ay-20010516-ui.flm  20010516.0  19.4 | 28 Kast  3382.0 - 10206.0  26.2132 Alex Filippenko, Ryan Chornock | Ryan Chornock  2011AJ....142...74K
SN 2001ay Ia  Ia,Ia-91T,Ia-norm sn2001ay-20010502.813-hst.flm 20010502.813  5.8 | 14  None  2930.0 - 5695.0 57.9616 None | None 2008ApJ...686..117F
SN 2001ay Ia  Ia,Ia-91T,Ia-norm sn2001ay-20010509.704-hst.flm 20010509.704  12.6 | 21 None  2930.0 - 5695.0 45.5529 None | None 2008ApJ...686..117F
SN 2001ay Ia  Ia,Ia-99aa,Ia-norm  sn2001ay-20010430-ui.flm  20010430.0  3.9 | 12  Kast  3260.0 - 10600.0  36.2475 Ryan Chornock, Maryam Modjaz | Ryan Chornock  2011AJ....142...74K
SN 2001az Ia  Ia,Ia-99aa,Ia-norm  sn2001az-20010430-ui.flm  20010430.0  -1.0 | 3  Kast  3260.0 - 10600.0  26.0656 Ryan Chornock, Maryam Modjaz | Ryan Chornock  2012MNRAS.425.1789S
SN 2001ba Ia  Ia,Ia-norm  sn2001ba-20010508.791-hst.flm 20010508.791  2.9 | 11  None  2930.0 - 5695.0 42.0565 None | None 2008ApJ...686..117F
SN 2001ba Ia  Ia,Ia-norm  sn2001ba-20010516.229-hst.flm 20010516.229  10.7 | 19 None  2955.0 - 5695.0 39.4952 None | None 2008ApJ...686..117F
SN 2001ba Ia  Ia,Ia-norm  sn2001ba-20010430-ui.flm  20010430.0  -4.9 | 3  Kast  3260.0 - 10600.0  1.65941 Ryan Chornock, Maryam Modjaz | Ryan Chornock  2012MNRAS.425.1789S
SN 2001bf Ia  Ia,Ia-norm  sn2001bf-20010516-ui.flm  20010516.0  -1.0 | 13 Kast  3300.0 - 10450.0  49.2287 Alex Filippenko, Ryan Chornock | Ryan Chornock  2012MNRAS.425.1789S
SN 2001bf Ia  Ia,Ia-norm  sn2001bf-20010727-ui.flm  20010727.0  69.9 | 85 Kast  3300.0 - 10400.0  24.3766 Alex Filippenko, Ryan Chornock | Ryan Chornock  2012MNRAS.425.1789S
SN 2001bg Ia  Ia,Ia-norm  sn2001bg-20010525-ui.flm  20010525.0  None | 17 Kast  3300.0 - 10500.0  70.019  Douglas Leonard, Ryan Chornock | Ryan Chornock  2012MNRAS.425.1789S
SN 2001bg Ia  NoMatch,NoMatch sn2001bg-20010530.247-joined.flm  20010530.247  None | 22 ESI 3930.06 - 10199.5 37.0277 Alex Filippenko, Ryan Chornock | Ryan Chornock  2012MNRAS.425.1789S
SN 2001bp Ia  Ia,Ia-99aa,Ia-norm  sn2001bp-far-20010516-ui.flm  20010516.0  None | 1  Kast  3300.0 - 10450.0  8.67314 Alex Filippenko, Ryan Chornock | Ryan Chornock  2012MNRAS.425.1789S
SN 2001bp Ia  NoMatch,NoMatch sn2001bp-20010529.409-joined.flm  20010529.409  None | 14 ESI 3930.05 - 10199.4 4.68264 Alex Filippenko, Ryan Chornock | Ryan Chornock  2012MNRAS.425.1789S
SN 2001br Ia  Ia,Ia-norm  sn2001br-20010525-ui.flm  20010525.0  None | 12 Kast  3334.0 - 10154.0  34.702  Douglas Leonard, Ryan Chornock | Ryan Chornock  2012MNRAS.425.1789S
SN 2001br Ia  Ia,Ia-99aa,Ia-norm  sn2001br-20010525-ur.flm  20010525.0  None | 12 Kast  3414.0 - 7850.0 41.5801 Douglas Leonard, Ryan Chornock | Ryan Chornock  2012MNRAS.425.1789S
SN 2001bs Ia  NoMatch,NoMatch sn2001bs-20010529.400-joined.flm  20010529.4  None | 7  ESI 3930.04 - 10199.8 5.84447 Alex Filippenko, Ryan Chornock | Ryan Chornock  2012MNRAS.425.1789S
SN 2001cg Ia  NoMatch,NoMatch sn2001cg-20010529.393-joined.flm  20010529.393  None | 1  ESI 3929.98 - 10199.6 11.6151 Alex Filippenko, Ryan Chornock | Ryan Chornock  2012MNRAS.425.1789S
SN 2001cj Ia  Ia,Ia-norm  sn2001cj-20010629-ui.flm  20010629.0  None | 30 Kast  3300.0 - 10400.0  19.241  Ryan Chornock, Maryam Modjaz, Brandon Swift | Ryan Chornock 2012MNRAS.425.1789S
SN 2001ck Ia  Ia,Ia-99aa,Ia-norm  sn2001ck-20010716-ui.flm  20010716.0  None | 43 Kast  3300.0 - 10400.0  13.0109 Ryan Chornock, Maryam Modjaz | Ryan Chornock  2012MNRAS.425.1789S
SN 2001ck Ia  Ia,Ia-norm  sn2001ck-20010629-ui.flm  20010629.0  None | 26 Kast  3300.0 - 10400.0  6.67544 Ryan Chornock, Maryam Modjaz, Brandon Swift | Ryan Chornock 2012MNRAS.425.1789S
SN 2001cp Ia  Ia,Ia-norm  sn2001cp-20010716-ui.flm  20010716.0  17.6 | 27 Kast  3300.0 - 10400.0  12.1254 Ryan Chornock, Maryam Modjaz | Ryan Chornock  2012MNRAS.425.1789S
SN 2001cp Ia  Ia,Ia-99aa,Ia-norm  sn2001cp-20010727-ui.flm  20010727.0  28.4 | 38 Kast  3300.0 - 10400.0  35.7872 Alex Filippenko, Ryan Chornock | Ryan Chornock  2012MNRAS.425.1789S
SN 2001cp Ia  Ia,Ia-99aa,Ia-norm  sn2001cp-20010629-ui.flm  20010629.0  1.0 | 10  Kast  3300.0 - 10400.0  32.8058 Ryan Chornock, Maryam Modjaz, Brandon Swift | Ryan Chornock 2012MNRAS.425.1789S
SN 2001da Ia  Ia,Ia-norm  sn2001da-20010716-ui.flm  20010716.0  2.9 | 7 Kast  3300.0 - 10400.0  44.2655 Ryan Chornock, Maryam Modjaz | Ryan Chornock  2012MNRAS.425.1789S
SN 2001da Ia  Ia,Ia-norm  sn2001da-20010727-ui.flm  20010727.0  13.8 | 18 Kast  3300.0 - 10400.0  56.1779 Alex Filippenko, Ryan Chornock | Ryan Chornock  2012MNRAS.425.1789S
SN 2001dd Ia  Ia,Ia-norm  sn2001dd-20010716-ui.flm  20010716.0  None | 3  Kast  3300.0 - 10400.0  27.3889 Ryan Chornock, Maryam Modjaz | Ryan Chornock  2012MNRAS.425.1789S
SN 2001de Ia  Ia,Ia-91bg,Ia-norm  sn2001de-20010727-ui.flm  20010727.0  None | 14 Kast  3300.0 - 10400.0  26.0881 Alex Filippenko, Ryan Chornock | Ryan Chornock  2012MNRAS.425.1789S
SN 2001dl Ia  Ia,Ia-norm  sn2001dl-20010823-ui.flm  20010823.0  None | 24 Kast  3300.0 - 10400.0  19.3909 Ryan Chornock, Maryam Modjaz | Ryan Chornock  2012MNRAS.425.1789S
SN 2001dl Ia  Ia,Ia-norm  sn2001dl-20010912-ui.flm  20010912.0  None | 44 Kast  3300.0 - 10400.0  16.2055 Weidong Li, Ryan Chornock | Ryan Foley  2012MNRAS.425.1789S
SN 2001dm Ia  Ia,Ia-99aa,Ia-norm  sn2001dm-20010823-ui.flm  20010823.0  None | 16 Kast  3412.0 - 10104.0  25.7561 Ryan Chornock, Maryam Modjaz | Ryan Chornock  2012MNRAS.425.1789S
SN 2001dn Ia  Ia,Ia-99aa,Ia-norm  sn2001dn-20010912-ui.flm  20010912.0  None | 29 Kast  3300.0 - 10400.0  19.1083 Weidong Li, Ryan Chornock | Ryan Foley  2012MNRAS.425.1789S
SN 2001ds Ia  NoMatch,NoMatch sn2001ds-20010823-ui.flm  20010823.0  None | 9  Kast  3442.0 - 10240.0  6.12424 Ryan Chornock, Maryam Modjaz | Ryan Chornock  2012MNRAS.425.1789S
SN 2001dt Ia  Ia,Ia-norm  sn2001dt-20010912-ui.flm  20010912.0  None | 20 Kast  3300.0 - 10400.0  14.5356 Weidong Li, Ryan Chornock | Ryan Foley  2012MNRAS.425.1789S
SN 2001dw Ia  Ia,Ia-norm  sn2001dw-20010912-ui.flm  20010912.0  None | 18 Kast  3300.0 - 10400.0  29.3793 Weidong Li, Ryan Chornock | Ryan Foley  2012MNRAS.425.1789S
SN 2001ec Ia  Ia,Ia-norm  sn2001ec-20010912-ui.flm  20010912.0  None | 12 Kast  3300.0 - 10400.0  13.1383 Weidong Li, Ryan Chornock | Ryan Foley  2012MNRAS.425.1789S
SN 2001ed Ia  Ia,Ia-99aa,Ia-norm  sn2001ed-20010920-ui.flm  20010920.0  None | 18 Kast  3300.0 - 10400.0  44.9616 Alex Filippenko, Ryan Chornock | Ryan Foley 2012MNRAS.425.1789S
SN 2001eg Ia  Ia,Ia-norm  sn2001eg-20010912-ui.flm  20010912.0  None | 14 Kast  3300.0 - 10400.0  8.53526 Weidong Li, Ryan Chornock | Ryan Foley  2012MNRAS.425.1789S
SN 2001eh Ia  Ia,Ia-norm  sn2001eh-20011025-ui.flm  20011025.0  35.7 | 46 Kast  3280.0 - 10400.0  12.7802 Weidong Li, Ryan Chornock | Douglas Leonard 2012MNRAS.425.1789S
SN 2001eh Ia  Ia,Ia-99aa,Ia-norm  sn2001eh-20010920-ui.flm  20010920.0  1.9 | 11  Kast  3300.0 - 10400.0  44.0145 Alex Filippenko, Ryan Chornock | Ryan Foley 2012MNRAS.425.1789S
SN 2001eh Ia  Ia,Ia-99aa,Ia-norm  sn2001eh-20010911-ui.flm  20010911.0  -6.7 | 2  Kast  3300.0 - 10400.0  23.4356 Alex Filippenko, Ryan Chornock | Ryan Foley 2012MNRAS.425.1789S
SN 2001eh Ia  Ia,Ia-99aa,Ia-norm  sn2001eh-20010912-ui.flm  20010912.0  -5.8 | 3  Kast  3300.0 - 10400.0  32.0049 Weidong Li, Ryan Chornock | Ryan Foley  2012MNRAS.425.1789S
SN 2001eh Ia  Ia,Ia-99aa,Ia-norm  sn2001eh-20011020-ui.flm  20011020.0  30.9 | 41 Kast  3300.0 - 10400.0  18.2047 Alex Filippenko, Ryan Chornock | Ryan Foley 2012MNRAS.425.1789S
SN 2001eh Ia  Ia,Ia-norm  sn2001eh-20010925.757-hst.flm 20010925.757  6.7 | 16  None  1177.63 - 5691.75 9.98759 None | None 2008MNRAS.391.1605S
SN 2001eh Ia  NoMatch,NoMatch sn2001eh-20011004.523-hst.flm 20011004.523  15.4 | 25 None  1683.98 - 3917.98 7.81002 None | None 2008MNRAS.391.1605S
SN 2001eh Ia  Ia,Ia-99aa,Ia-norm  sn2001eh-20011118.217-joined.flm  20011118.217  58.8 | 70 ESI 3930.07 - 10198.6 13.1374 Alex Filippenko, Ryan Chornock | Ryan Chornock  2012MNRAS.425.1789S
SN 2001ei Ia-pec  Ia,Ia-91bg,Ia-norm  sn2001ei-20010920-ui.flm  20010920.0  None | 32 Kast  3300.0 - 10400.0  11.4206 Alex Filippenko, Ryan Chornock | Ryan Foley 2012MNRAS.425.1789S
SN 2001ei Ia-pec  Ia,Ic,Ic-norm,Ia-91bg sn2001ei-20011023.305-joined.flm  20011023.305  None | 65 ESI 3929.87 - 10198.8 4.15887 Alex Filippenko, Ryan Chornock | Ryan Chornock  2012MNRAS.425.1789S
SN 2001el Ia  Ia,Ia-91T,Ia-norm sn2001el-20011029.636-hst.flm 20011029.636  28.9 | 42 None  2930.0 - 10225.0  48.9355 None | None 2008ApJ...686..117F
SN 2001el Ia  Ia,Ia-norm  sn2001el-20011106.569-hst.flm 20011106.569  36.9 | 50 None  2930.0 - 10225.0  44.5212 None | None 2008ApJ...686..117F
SN 2001el Ia  Ia,Ia-norm  sn2001el-20011113.476-hst.flm 20011113.476  43.8 | 57 None  2930.0 - 10225.0  41.4223 None | None 2008ApJ...686..117F
SN 2001el Ia  Ia,Ia-99aa,Ia-norm  sn2001el-20011120.356-hst.flm 20011120.356  50.8 | 64 None  2930.0 - 10225.0  44.9562 None | None 2008ApJ...686..117F
SN 2001el Ia  Ia,Ia-99aa,Ia-norm  sn2001el-20011126.704-hst.flm 20011126.704  56.8 | 70 None  2930.0 - 10225.0  41.2596 None | None 2008ApJ...686..117F
SN 2001el Ia  Ia,Ia-norm  sn2001el-20011204.350-hst.flm 20011204.35 64.7 | 78 None  2930.0 - 10225.0  40.2119 None | None 2008ApJ...686..117F
SN 2001en Ia  Ia,Ia-norm  sn2001en-20011025-ui.flm  20011025.0  13.8 | 29 Kast  3280.0 - 10400.0  41.5684 Weidong Li, Ryan Chornock | Douglas Leonard 2012MNRAS.425.1789S
SN 2001en Ia  Ia,Ia-norm  sn2001en-20011115-ui.flm  20011115.0  34.5 | 50 Kast  3280.0 - 10400.0  26.2606 Alex Filippenko, Ryan Chornock | Ryan Chornock  2012MNRAS.425.1789S
SN 2001en Ia  Ia,Ia-norm  sn2001en-20011020-ui.flm  20011020.0  8.9 | 24  Kast  3300.0 - 10400.0  45.9462 Alex Filippenko, Ryan Chornock | Ryan Foley 2012MNRAS.425.1789S
SN 2001ep Ia  Ia,Ia-norm  sn2001ep-20011025-ui.flm  20011025.0  6.9 | 22  Kast  3280.0 - 10400.0  52.6197 Weidong Li, Ryan Chornock | Douglas Leonard 2012MNRAS.425.1789S
SN 2001ep Ia  Ia,Ia-norm  sn2001ep-20011115-ui.flm  20011115.0  27.6 | 43 Kast  3280.0 - 10400.0  43.8841 Alex Filippenko, Ryan Chornock | Ryan Chornock  2012MNRAS.425.1789S
SN 2001ep Ia  Ia,Ia-norm  sn2001ep-20011020-ui.flm  20011020.0  2.0 | 17  Kast  3300.0 - 10400.0  58.2122 Alex Filippenko, Ryan Chornock | Ryan Foley 2012MNRAS.425.1789S
SN 2001ep Ia  Ia,Ia-norm  sn2001ep-20020211-ui.flm  20020211.0  114.5 | 131 Kast  3300.0 - 10400.0  4.71658 Alex Filippenko, Ryan Chornock | Ryan Foley 2012MNRAS.425.1789S
SN 2001ep Ia  Ia,Ia-norm  sn2001ep-20011028.024-hst.flm 20011028.024  9.9 | 25  None  1315.51 - 5699.34 13.0301 None | None 2008MNRAS.391.1605S
SN 2001ep Ia  Ia,Ia-norm  sn2001ep-20011102.871-hst.flm 20011102.871  14.8 | 30 None  1226.71 - 5699.34 10.9328 None | None 2008MNRAS.391.1605S
SN 2001ep Ia  Ia,Ia-norm  sn2001ep-20020114-ui.flm  20020114.0  86.9 | 103  Kast  3268.0 - 10570.0  16.3599 Li, Chornock | Ryan Chornock  2012MNRAS.425.1789S
SN 2001ep Ia  Ia,Ia-norm  sn2001ep-20011022.654-joined.flm  20011022.654  3.9 | 19  ESI 3929.92 - 10198.9 29.0639 Alex Filippenko, Ryan Chornock | Ryan Chornock  2012MNRAS.425.1789S
SN 2001ep Ia  Ia,Ia-norm  sn2001ep-20011023.652-joined.flm  20011023.652  4.9 | 20  ESI 3929.91 - 10198.9 47.6658 Alex Filippenko, Ryan Chornock | Ryan Chornock  2012MNRAS.425.1789S
SN 2001er Ia  Ia,Ia-91T,Ia-norm sn2001er-20011020-ui.flm  20011020.0  None | 16 Kast  3300.0 - 10400.0  13.5136 Alex Filippenko, Ryan Chornock | Ryan Foley 2012MNRAS.425.1789S
SN 2001es Ia  Ic,Ic-broad sn2001es-20011020-ui.flm  20011020.0  None | 13 Kast  3300.0 - 10400.0  19.1665 Alex Filippenko, Ryan Chornock | Ryan Foley 2012MNRAS.425.1789S
SN 2001es Ia  Ia,Ia-02cx  sn2001es-20011023.313-joined.flm  20011023.313  None | 16 ESI 3930.03 - 10199.2 7.56519 Alex Filippenko, Ryan Chornock | Ryan Chornock  2012MNRAS.425.1789S
SN 2001eu Ia  Ic,Ic-broad sn2001eu-20011022.342-joined.flm  20011022.342  None | 31 ESI 3930.04 - 10198.5 6.87651 Alex Filippenko, Ryan Chornock | Ryan Chornock  2012MNRAS.425.1789S
SN 2001ew Ia  Ia,Ia-norm  sn2001ew-20011020-ui.flm  20011020.0  None | 11 Kast  3300.0 - 10400.0  20.283  Alex Filippenko, Ryan Chornock | Ryan Foley 2012MNRAS.425.1789S
SN 2001ex Ia  Ia,Ia-91bg,Ia-norm  sn2001ex-20011020-ui.flm  20011020.0  None | 4  Kast  3300.0 - 10400.0  22.7658 Alex Filippenko, Ryan Chornock | Ryan Foley 2012MNRAS.425.1789S
SN 2001ex Ia  Ia,Ia-91bg,Ia-norm  sn2001ex-20011029.475-hst.flm 20011029.475  None | 13 None  2930.0 - 10225.0  23.0843 None | None 2008ApJ...686..117F
SN 2001ex Ia  Ia,Ia-norm  sn2001ex-20011106.424-hst.flm 20011106.424  None | 21 None  2930.0 - 10225.0  17.5761 None | None 2008ApJ...686..117F
SN 2001ex Ia  Ia,Ia-norm  sn2001ex-20011112.786-hst.flm 20011112.786  None | 27 None  2930.0 - 10090.0  13.4689 None | None 2008ApJ...686..117F
SN 2001ex Ia  Ia,Ia-norm  sn2001ex-20011119.272-hst.flm 20011119.272  None | 34 None  2930.0 - 5690.0 10.8486 None | None 2008ApJ...686..117F
SN 2001ex Ia  Ia,Ia-norm  sn2001ex-20011126.885-hst.flm 20011126.885  None | 41 None  2930.0 - 5690.0 11.3508 None | None 2008ApJ...686..117F
SN 2001ex Ia  Ia,Ia-norm  sn2001ex-20011203.964-hst.flm 20011203.964  None | 48 None  2930.0 - 5695.0 10.9491 None | None 2008ApJ...686..117F
SN 2001fe Ia  Ia,Ia-99aa,Ia-norm  sn2001fe-20011115-ui.flm  20011115.0  -1.0 | 13 Kast  3280.0 - 10400.0  71.8641 Alex Filippenko, Ryan Chornock | Ryan Chornock  2012MNRAS.425.1789S
SN 2001fg Ia  Ia,Ia-99aa,Ia-norm  sn2001fg-20011118.251-joined.flm  20011118.251  None | 34 ESI 3930.09 - 10198.6 5.70441 Alex Filippenko, Ryan Chornock | Ryan Chornock  2012MNRAS.425.1789S
SN 2001fh Ia-pec  Ia,Ia-norm  sn2001fh-20011116-ui.flm  20011116.0  5.9 | 13  Kast  3300.0 - 10400.0  33.8518 Alex Filippenko, Ryan Chornock | Ryan Chornock  2012MNRAS.425.1789S
SN 2001fh Ia-pec  Ia,Ia-norm  sn2001fh-comb-20011118.196-joined.flm 20011118.196  7.9 | 15  ESI 3929.96 - 10199.0 31.5242 Alex Filippenko, Ryan Chornock | Ryan Chornock  2012MNRAS.425.1789S
